audio_path,predicted_transcript,actual_sentence
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40353084.mp3, She hides her grief and joined in the homecoming celebration.,She hides her grief and joins in the homecoming celebration.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40434934.mp3, Let's eat the chocolate tonight.,Let's eat the chocolate tonight.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40401859.mp3, Newport was a county burrow.,Newport was a county borough.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40260115.mp3, The HECMON model falls into this type.,The Heckman model falls into this type.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40256893.mp3, More modern versions of the tax no longer require in actual,More modern versions of the tax no longer require an actual stamp.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40190598.mp3, The classification is based on the timing of transcription that is temporarily regulated.,This classification is based on the timing of transcription that is temporally regulated.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40233996.mp3," It forms the largest artificial lake in Mali, Lake Montentale.","It forms the largest artificial lake in Mali, Lake Manantali."
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40416239.mp3, Fox shuffled the show's airtime repeatedly to make groom for other shows.,Fox shuffled the show's air time repeatedly to make room for other shows.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40279986.mp3," When the player character touches a monster, they die.","When the player character touches a monster, they die."
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40239882.mp3, Classmates and friends endowed a scholarship in his name at Kronigi Mellon.,Classmates and friends endowed a scholarship in his name at Carnegie Mellon.
